Model Type,Accuracy,Precision,Recall,F1-Score,Detection Rate
Federated (Random Weights),0.9924,0.9842227378190255,0.9805825242718447,0.9823992589161649,0.9805825242718447
Centralized (Baseline),0.9924,0.9878447872837774,0.9768839574664817,0.9823337982333797,0.9768839574664817
