step,timestamp,metric_name,value
1,1751648102.899776,num_clients_fit,0
1,1751648102.899776,num_failures,4
1,1751648102.899776,aggregation_successful,True
1,1751648102.899776,round,1
1,1751648102.899776,timestamp,1751648102.899755
1,1751648105.464177,client_5802807441139128709_eval_loss,0.6969133615493774
1,1751648105.464177,client_5802807441139128709_eval_num_examples,16
1,1751648105.464177,client_5802807441139128709_eval_accuracy,0.3125
1,1751648105.464177,client_5802807441139128709_eval_correct_predictions,5
1,1751648105.464177,client_5802807441139128709_eval_evaluation_time,0.46729516983032227
1,1751648105.4642298,client_5106573657980754944_eval_loss,0.702033281326294
1,1751648105.4642298,client_5106573657980754944_eval_num_examples,16
1,1751648105.4642298,client_5106573657980754944_eval_accuracy,0.25
1,1751648105.4642298,client_5106573657980754944_eval_correct_predictions,4
1,1751648105.4642298,client_5106573657980754944_eval_evaluation_time,0.4589958190917969
1,1751648105.4643252,server_loss,0.6994733214378357
1,1751648105.4643252,round,1
1,1751648105.4643252,timestamp,1751648105.464324
2,1751648108.4564621,num_clients_fit,0
2,1751648108.4564621,num_failures,4
2,1751648108.4564621,aggregation_successful,True
2,1751648108.4564621,round,2
2,1751648108.4564621,timestamp,1751648108.45645
2,1751648110.8690932,client_713361587559225749_eval_loss,0.6943521499633789
2,1751648110.8690932,client_713361587559225749_eval_num_examples,16
2,1751648110.8690932,client_713361587559225749_eval_accuracy,0.375
2,1751648110.8690932,client_713361587559225749_eval_correct_predictions,6
2,1751648110.8690932,client_713361587559225749_eval_evaluation_time,0.17731189727783203
2,1751648110.8691368,client_10226665845596518190_eval_loss,0.691154956817627
2,1751648110.8691368,client_10226665845596518190_eval_num_examples,16
2,1751648110.8691368,client_10226665845596518190_eval_accuracy,0.4375
2,1751648110.8691368,client_10226665845596518190_eval_correct_predictions,7
2,1751648110.8691368,client_10226665845596518190_eval_evaluation_time,0.23940300941467285
2,1751648110.869185,server_loss,0.6927535533905029
2,1751648110.869185,round,2
2,1751648110.869185,timestamp,1751648110.869184
3,1751648114.082039,num_clients_fit,0
3,1751648114.082039,num_failures,4
3,1751648114.082039,aggregation_successful,True
3,1751648114.082039,round,3
3,1751648114.082039,timestamp,1751648114.0820239
3,1751648116.417758,client_10226665845596518190_eval_loss,0.7055208683013916
3,1751648116.417758,client_10226665845596518190_eval_num_examples,16
3,1751648116.417758,client_10226665845596518190_eval_accuracy,0.1875
3,1751648116.417758,client_10226665845596518190_eval_correct_predictions,3
3,1751648116.417758,client_10226665845596518190_eval_evaluation_time,0.192108154296875
3,1751648116.4178078,client_5802807441139128709_eval_loss,0.6968295574188232
3,1751648116.4178078,client_5802807441139128709_eval_num_examples,16
3,1751648116.4178078,client_5802807441139128709_eval_accuracy,0.375
3,1751648116.4178078,client_5802807441139128709_eval_correct_predictions,6
3,1751648116.4178078,client_5802807441139128709_eval_evaluation_time,0.19289183616638184
3,1751648116.4178429,server_loss,0.7011752128601074
3,1751648116.4178429,round,3
3,1751648116.4178429,timestamp,1751648116.4178429
3,1751648116.418777,simulation_time,24.840696096420288
3,1751648116.418777,total_time,26.615511178970337
3,1751648116.418777,final_loss,0.7011752128601074
3,1751648116.418777,final_accuracy,0.0
3,1751648116.418777,round,3
3,1751648116.418777,timestamp,1751648116.418776
