step,timestamp,metric_name,value
1,1751648243.188875,num_clients_fit,0
1,1751648243.188875,num_failures,4
1,1751648243.188875,aggregation_successful,True
1,1751648243.188875,round,1
1,1751648243.188875,timestamp,1751648243.18886
1,1751648245.486393,client_7948915537455753516_eval_loss,0.6966288089752197
1,1751648245.486393,client_7948915537455753516_eval_num_examples,16
1,1751648245.486393,client_7948915537455753516_eval_accuracy,0.5
1,1751648245.486393,client_7948915537455753516_eval_correct_predictions,8
1,1751648245.486393,client_7948915537455753516_eval_evaluation_time,0.1721351146697998
1,1751648245.486443,client_13434166631473464781_eval_loss,0.6782667636871338
1,1751648245.486443,client_13434166631473464781_eval_num_examples,16
1,1751648245.486443,client_13434166631473464781_eval_accuracy,0.625
1,1751648245.486443,client_13434166631473464781_eval_correct_predictions,10
1,1751648245.486443,client_13434166631473464781_eval_evaluation_time,0.17124295234680176
1,1751648245.48653,server_loss,0.6874477863311768
1,1751648245.48653,round,1
1,1751648245.48653,timestamp,1751648245.486529
2,1751648248.756423,num_clients_fit,0
2,1751648248.756423,num_failures,4
2,1751648248.756423,aggregation_successful,True
2,1751648248.756423,round,2
2,1751648248.756423,timestamp,1751648248.7564
2,1751648251.107338,client_10701122686214100983_eval_loss,0.6722521185874939
2,1751648251.107338,client_10701122686214100983_eval_num_examples,16
2,1751648251.107338,client_10701122686214100983_eval_accuracy,0.8125
2,1751648251.107338,client_10701122686214100983_eval_correct_predictions,13
2,1751648251.107338,client_10701122686214100983_eval_evaluation_time,0.18110203742980957
2,1751648251.107389,client_13434166631473464781_eval_loss,0.6899950504302979
2,1751648251.107389,client_13434166631473464781_eval_num_examples,16
2,1751648251.107389,client_13434166631473464781_eval_accuracy,0.4375
2,1751648251.107389,client_13434166631473464781_eval_correct_predictions,7
2,1751648251.107389,client_13434166631473464781_eval_evaluation_time,0.18114995956420898
2,1751648251.107441,server_loss,0.6811235845088959
2,1751648251.107441,round,2
2,1751648251.107441,timestamp,1751648251.1074402
3,1751648254.103887,num_clients_fit,0
3,1751648254.103887,num_failures,4
3,1751648254.103887,aggregation_successful,True
3,1751648254.103887,round,3
3,1751648254.103887,timestamp,1751648254.103862
3,1751648256.447314,client_7948915537455753516_eval_loss,0.686790406703949
3,1751648256.447314,client_7948915537455753516_eval_num_examples,16
3,1751648256.447314,client_7948915537455753516_eval_accuracy,0.5
3,1751648256.447314,client_7948915537455753516_eval_correct_predictions,8
3,1751648256.447314,client_7948915537455753516_eval_evaluation_time,0.1764988899230957
3,1751648256.44736,client_12476952537323136151_eval_loss,0.6730985641479492
3,1751648256.44736,client_12476952537323136151_eval_num_examples,16
3,1751648256.44736,client_12476952537323136151_eval_accuracy,0.6875
3,1751648256.44736,client_12476952537323136151_eval_correct_predictions,11
3,1751648256.44736,client_12476952537323136151_eval_evaluation_time,0.17594385147094727
3,1751648256.447403,server_loss,0.6799444854259491
3,1751648256.447403,round,3
3,1751648256.447403,timestamp,1751648256.447402
3,1751648256.448364,simulation_time,23.542816638946533
3,1751648256.448364,total_time,25.190561771392822
3,1751648256.448364,final_loss,0.6799444854259491
3,1751648256.448364,final_accuracy,0.0
3,1751648256.448364,round,3
3,1751648256.448364,timestamp,1751648256.4483619
